Store,MAE,RMSE,MAPE
37,8383.971917455012,10466.068201164726,1.5781727410215187
44,10298.14198980982,12252.044151155706,3.025756887913528
33,16673.423164562835,18764.090638736012,6.304112125707544
36,15572.538482852737,19153.827048720952,5.3366132399743655
16,14036.656758583917,19428.584616205673,2.649219663017947
9,15527.817164524939,22014.663003068275,2.850674304009165
34,21430.904359940294,23938.634628516575,2.2346018313350786
32,19565.926360054484,25202.022001628033,1.6447740377733828
3,22843.907763090512,25984.40488219064,5.498173702372062
5,25573.602559369814,28736.194479607653,7.856744830271864
40,24761.412679973513,29114.77377677938,2.5383062955851092
38,25970.143818503613,30395.839315967798,5.992445558569058
43,34064.11327818551,36344.87420430085,5.5288144705962
25,32535.473781376233,36399.32035348376,4.67515851167043
1,31892.261563722044,38617.815626704396,2.0542678193463284
42,35862.55408020353,42095.3426203996,6.436902325375146
29,38659.62908536734,42871.83850205016,7.683778082248548
30,41415.46668750393,43836.59928356918,9.495479679627627
15,39187.75521533835,44580.846076878515,6.955010072236391
31,39364.080988830385,47503.33458392123,2.8853176296960403
10,42067.98675571225,54806.58239142015,2.4232968842880567
45,53280.16217364217,55345.53037269244,7.272707019974391
7,52392.32309345913,57300.032134548994,9.570758491379031
26,58151.8840337143,62540.740254349344,5.678003275747134
12,61783.535063802585,64032.74440284655,6.3474715881638515
8,57566.84186046318,64363.13891885592,6.234748629949702
23,55227.634400795,67766.49944048676,3.8440602532458144
21,61690.48706824218,70791.81838842742,8.951732096546031
6,67187.51243615494,75201.44789588146,4.462664894828037
24,67710.13068145658,78899.8242095233,4.985996739921266
11,76301.94425560553,89286.84690113009,5.68287682912959
22,78365.1758831283,89486.23298007174,7.797455386337797
28,60395.78983889662,90278.89044185542,4.713004861086151
17,82095.57939272835,90590.57813586682,8.370367380371013
41,105254.6716523498,109798.17011648137,7.570020484389492
27,90280.87949792067,112527.09416419339,5.343858990991414
39,102856.21903826343,113157.82262363336,6.447540393956997
19,119266.32137382438,122988.87944006099,8.577703218426858
4,112322.02242581849,129575.45329255985,5.256932538309287
14,135611.7458005276,143275.3265954355,8.179315257020452
2,130070.26591368388,146947.39325214934,6.9278396780758715
35,155299.69281101052,163367.55157215518,17.975011554018195
13,150664.1275120504,169074.46062557565,7.396767944047948
18,167748.34436768372,219312.6486488711,15.825639772192757
20,208048.20149499652,223270.57517688032,9.977789031584978
